kepid,kepoi_name,koi_disposition,koi_period,koi_depth
10426656,K01161.01,CONFIRMED,6.05729966,385.2
9820483,K00953.01,CONFIRMED,3.584101048,2608.1
9941662,K00013.01,CONFIRMED,1.763587535,4590.6
7778437,K00131.01,CONFIRMED,5.014234733,6536.0
9823457,K00954.01,CONFIRMED,8.11528727,834.9
9823457,K00954.02,CONFIRMED,36.9250409,902.0
2164169,K01029.01,CONFIRMED,32.3122867,677.8
2574338,K01030.01,CONFIRMED,9.22961384,492.1
2584163,K01031.01,CONFIRMED,14.5598556,290.6
4180280,K00144.01,CONFIRMED,4.176254191,1360.1
2721030,K01094.01,CONFIRMED,6.10027621,766.6
7626506,K00150.01,CONFIRMED,8.408878137,798.9
10426656,K01161.02,CONFIRMED,10.93725572,421.6
10426656,K01161.03,CONFIRMED,2.97136658,233.3
10528068,K01162.01,CONFIRMED,158.6850022,898.3
10468940,K01163.01,CONFIRMED,2.936527336,352.3
9825625,K00955.01,CONFIRMED,7.03902016,529.8
9875711,K00956.01,CONFIRMED,8.360870704,2039.7
1026957,K00958.01,CONFIRMED,21.76129812,1300.7
2853093,K01099.01,CONFIRMED,161.5278347,4653.6
3245969,K01101.01,CONFIRMED,11.39102358,448.6
3231341,K01102.01,CONFIRMED,12.33343853,536.4
10468940,K01163.02,CONFIRMED,8.01500821,363.0
10337517,K01165.01,CONFIRMED,7.053934488,511.5
10337517,K01165.02,CONFIRMED,4.29263699,61.4
10351231,K01166.01,CONFIRMED,7.6746614,503.0
8561063,K00961.01,CONFIRMED,1.213770423,1821.0
8561063,K00961.02,CONFIRMED,0.453287416,1461.5
8561063,K00961.03,CONFIRMED,1.865114193,1124.8
7102227,K01360.01,CONFIRMED,36.7704935,1346.6
7102227,K01360.02,CONFIRMED,14.58932429,831.3
7102227,K01360.03,CONFIRMED,0.764017553,128.2
6960913,K01361.01,CONFIRMED,59.8780258,1419.1
11122894,K01426.02,CONFIRMED,74.92768653,4119.2
11122894,K01426.03,CONFIRMED,150.0189511,4319.7
11129738,K01427.01,CONFIRMED,2.613020421,599.7
11401182,K01428.01,CONFIRMED,0.927859786,515.3
11030711,K01429.01,CONFIRMED,205.912735,2378.8
11512246,K00168.03,CONFIRMED,7.10695741,131.0
6690082,K01240.01,CONFIRMED,2.1395563,266.1
6690082,K01240.02,CONFIRMED,4.807103254,450.5
6448890,K01241.01,CONFIRMED,21.4054422,409.3
6448890,K01241.02,CONFIRMED,10.5007712,183.4
10730034,K01305.01,CONFIRMED,2.633852528,259.8
10730034,K01305.02,CONFIRMED,6.18670882,202.6
10858691,K01306.01,CONFIRMED,1.796320953,210.9
10858691,K01306.02,CONFIRMED,3.468073,243.9
10858691,K01306.03,CONFIRMED,5.9142668,253.2
